title,author,is_loaned,copies,genre,year,copies_available
The Catcher in the Rye,J.D. Salinger,No,3,Fiction,1951,3
To Kill a Mockingbird,Harper Lee,Yes,2,Fiction,1960,0
1984,George Orwell,Yes,5,Dystopian,1949,0
The Great Gatsby,F. Scott Fitzgerald,No,4,Classic,1925,4
Moby Dick,Herman Melville,No,1,Adventure,1851,1
Pride and Prejudice,Jane Austen,Yes,3,Romance,1813,0
War and Peace,Leo Tolstoy,No,2,Historical Fiction,1869,2
Great Expectations,Charles Dickens,No,3,Classic,1861,3
Crime and Punishment,Fyodor Dostoevsky,Yes,1,Psychological Drama,1866,0
The Brothers Karamazov,Fyodor Dostoevsky,No,3,Philosophy,1880,3
The Divine Comedy,Dante Alighieri,Yes,1,Epic Poetry,1320,0
Jane Eyre,Charlotte Brontë,No,2,Gothic Fiction,1847,2
Wuthering Heights,Emily Brontë,No,4,Gothic Romance,1847,4
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877,0
Madame Bovary,Gustave Flaubert,No,3,Realism,1857,3
The Iliad,Homer,Yes,1,Epic Poetry,-750,0
The Sound and the Fury,William Faulkner,No,2,Modernism,1929,2
Invisible Man,Ralph Ellison,Yes,1,Fiction,1952,0
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,0
Catch-22,Joseph Heller,No,4,Satire,1961,4
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969,0
Brave New World,Aldous Huxley,No,5,Dystopian,1932,5
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,0
The Grapes of Wrath,John Steinbeck,No,2,Fiction,1939,2
Of Mice and Men,John Steinbeck,Yes,1,Tragedy,1937,0
The Old Man and the Sea,Ernest Hemingway,No,3,Fiction,1952,3
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937,0
The Lord of the Rings,J.R.R. Tolkien,Yes,2,Fantasy,1954,0
Harry Potter and the Philosopher's Stone,J.K. Rowling,No,7,Fantasy,1997,7
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996,0
The Name of the Wind,Patrick Rothfuss,No,3,Fantasy,2007,3
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006,0
The Handmaid's Tale,Margaret Atwood,No,3,Dystopian,1985,3
The Odyssey,Homer,Yes,2,Epic Poetry,-800,0
eee,eeee,Yes,3,eeee,12345,0
